X,Y,FID,Kode_Provi,Provinsi,Kasus_Posi,Kasus_Semb,Kasus_Meni
96.909522747761741,4.225081892093766,1,11,Aceh,5,1,1
99.057887848929184,2.184779214910512,2,12,Sumatera Utara,65,8,8
100.46680503029917,-0.851914347725705,3,13,Sumatera Barat,44,6,3
101.812891953911418,0.510525849181105,4,14,Riau,16,1,0
103.599319999735869,-1.617749999642331,5,15,Jambi,4,0,0
104.170419444648559,-3.213346821849744,6,16,Sumatera Selatan,21,4,2
102.263119999717674,-3.791159999992269,7,17,Bengkulu,4,0,1
105.986948081808109,-2.252956411152433,8,19,Kepulauan Bangka Belitung,4,0,1
105.018313050946858,-4.918073087438925,9,18,Lampung,20,1,1
108.202228888813892,3.915947241146214,10,21,Kepulauan Riau,21,2,1
106.826489999705956,-6.171480000380943,11,31,DKI Jakarta,2044,142,195
107.602807897714385,-6.919980215676874,12,32,Jawa Barat,450,19,43
110.201112529174992,-7.258970382933987,13,33,Jawa Tengah,200,19,25
110.445366971108214,-7.895013815160975,14,34,Daerah Istimewa Yogyakarta,41,6,7
112.73367880118164,-7.720113018739566,15,35,Jawa Timur,386,68,27
106.109197068962317,-6.456181598923129,16,36,Banten,281,7,21
115.1316509954286,-8.369743261086477,17,51,Bali,81,19,2
117.506862452252633,-8.606652084111358,18,52,Nusa Tenggara Barat,37,2,2
121.141829170268267,-8.604843331946174,19,53,Nusa Tenggara Timur,1,0,0
111.120762400643727,-0.08590123391208,20,61,Kalimantan Barat,13,3,3
113.181047851696647,-1.634340045213654,21,62,Kalimantan Tengah,24,7,1
115.311307834114103,-2.449779137264103,22,63,Kalimantan Selatan,34,0,2
116.470858393321294,0.461046226990024,23,64,Kalimantan Timur,35,6,1
116.216718308791656,2.888820960580607,24,65,Kalimantan Utara,16,0,1
124.535378849735778,1.286097687079181,25,71,Sulawesi Utara,17,1,2
120.449592500383545,-1.459214953921913,26,72,Sulawesi Tengah,19,2,2
120.161157703644975,-3.747115711801693,27,73,Sulawesi Selatan,222,25,15
122.078678055911098,-4.132803970967244,28,74,Sulawesi Tenggara,16,1,1
123.061840000149971,0.537070000339444,29,75,Gorontalo,1,0,0
119.343471383384681,-2.461902015116017,30,76,Sulawesi Barat,5,2,1
129.36042499998689,-3.126119343176943,31,81,Maluku,11,1,0
128.015929441900511,0.869337000869428,32,82,Maluku Utara,2,1,0
140.000000000374598,-5.000000000227514,33,94,Papua,63,5,3
132.968341711947545,-2.041723281879523,34,91,Papua Barat,3,0,1
113.915865000221928,-0.989818182273459,35,0,Indonesia,35,0,0
