nama_data,value
Jawa Tengah,13
Jawa Timur,11
DKI Jakarta,8
Jawa Barat,8
Sulawesi Selatan,7
Sumatera Utara,5
Sumatera Selatan,5
Kalimantan Timur,5
Sulawesi Tengah ,5
Lampung ,4
Kepulauan Riau,4
DI Yogyakarta,4
Bali ,4
Nusa Tenggara Barat,4
Kalimantan Barat,4
Sulawesi Utara,4
Riau,3
Bengkulu,3
Nusa Tenggara Timur,3
Kalimantan Tengah,3
Maluku,3
Papua,3
Aceh,2
Sumatera Barat,2
Kepulauan Bangka Belitung,2
Banten,2
Kalimantan Selatan,2
Kalimantan Utara,2
Papua Barat,2
Jambi,1
Sulawesi Tenggara,1
Gorontalo,1
Sulawesi Barat,1
Maluku Utara,1
