Day,Date,Daily_cases,Cumulative_cases,Patient_under_treatment,Recovered_cases,Total_death,Recovered-cases_perDay,Death_cases_perDay,Treatment_cases_perDay
1,2020-03-02T00:00:00.000Z,2,2,2,,,,,
2,2020-03-03T00:00:00.000Z,2,2,2,,,,,
3,2020-03-04T00:00:00.000Z,2,2,2,,,,,
4,2020-03-05T00:00:00.000Z,2,2,2,,,,,
5,2020-03-06T00:00:00.000Z,2,4,4,,,,,2
6,2020-03-07T00:00:00.000Z,2,4,4,,,,,2
7,2020-03-08T00:00:00.000Z,2,6,6,,,,,2
8,2020-03-09T00:00:00.000Z,13,19,19,,,,,13
9,2020-03-10T00:00:00.000Z,8,27,25,2,,2,,6
10,2020-03-11T00:00:00.000Z,7,34,31,2,1,2,1,6
11,2020-03-12T00:00:00.000Z,7,34,31,2,1,2,1,6
12,2020-03-13T00:00:00.000Z,35,69,63,2,4,2,3,32
13,2020-03-14T00:00:00.000Z,27,96,83,8,5,6,1,20
14,2020-03-15T00:00:00.000Z,21,117,104,8,5,6,1,21
15,2020-03-16T00:00:00.000Z,17,134,121,8,5,6,1,17
16,2020-03-17T00:00:00.000Z,38,172,158,9,5,1,1,37
17,2020-03-18T00:00:00.000Z,55,227,197,11,19,2,14,39
18,2020-03-19T00:00:00.000Z,81,308,268,15,25,4,6,71
19,2020-03-20T00:00:00.000Z,61,369,320,17,32,2,7,52
20,2020-03-21T00:00:00.000Z,81,450,392,20,38,3,6,72
21,2020-03-22T00:00:00.000Z,64,514,437,29,48,9,10,45
22,2020-03-23T00:00:00.000Z,65,579,500,30,49,1,1,63
23,2020-03-24T00:00:00.000Z,106,685,600,30,55,1,6,100
24,2020-03-25T00:00:00.000Z,105,790,701,31,58,1,3,101
25,2020-03-26T00:00:00.000Z,103,893,780,35,78,4,20,79
26,2020-03-27T00:00:00.000Z,153,1046,913,46,87,11,9,133
27,2020-03-28T00:00:00.000Z,109,1155,994,59,102,13,15,81
28,2020-03-29T00:00:00.000Z,130,1285,1107,64,114,5,12,113
29,2020-03-30T00:00:00.000Z,129,1414,1217,75,122,11,8,110
30,2020-03-31T00:00:00.000Z,114,1528,1311,81,136,6,14,94
31,2020-04-01T00:00:00.000Z,149,1677,1417,103,157,22,21,106
32,2020-04-02T00:00:00.000Z,113,1790,1508,112,170,9,13,91
33,2020-04-03T00:00:00.000Z,196,1986,1671,134,181,22,11,163
34,2020-04-04T00:00:00.000Z,106,2092,1751,150,191,16,10,80
35,2020-04-05T00:00:00.000Z,181,2273,1911,164,198,14,7,160
36,2020-04-06T00:00:00.000Z,218,2491,2090,192,209,28,11,179
37,2020-04-07T00:00:00.000Z,247,2738,2313,204,221,12,12,223
38,2020-04-08T00:00:00.000Z,218,2956,2494,222,240,18,19,181
39,2020-04-09T00:00:00.000Z,337,3293,2761,252,280,30,40,267
40,2020-04-10T00:00:00.000Z,219,3512,2924,282,306,30,26,163
