Date,Confirmed,Death,Recovery
1/22/2020,444,17,28
1/23/2020,444,17,28
1/24/2020,549,24,31
1/25/2020,761,40,32
1/26/2020,1058,52,42
1/27/2020,1423,76,45
1/28/2020,3554,125,80
1/29/2020,3554,125,88
1/30/2020,4903,162,90
1/31/2020,5806,204,141
2/1/2020,7153,249,168
2/2/2020,11177,350,295
2/3/2020,13522,414,386
2/4/2020,16678,479,522
2/5/2020,19665,549,633
2/6/2020,22112,618,817
2/7/2020,24953,699,1115
2/8/2020,27100,780,1439
2/9/2020,29631,871,1795
2/10/2020,31728,974,2222
2/11/2020,33366,1068,2639
2/12/2020,33366,1068,2686
2/13/2020,48206,1310,3459
2/14/2020,54406,1457,4774
2/15/2020,56249,1596,5623
2/16/2020,58182,1696,6639
2/17/2020,59989,1789,7862
2/18/2020,61682,1921,9128
2/19/2020,62031,2029,10337
2/20/2020,62442,2144,11788
2/21/2020,62662,2144,11881
2/22/2020,64084,2346,15299
2/23/2020,64084,2346,15343
2/24/2020,64287,2495,16748
2/25/2020,64786,2563,18971
2/26/2020,65187,2615,20969
2/27/2020,65596,2641,23383
2/28/2020,65914,2682,26403
2/29/2020,66337,2727,28993
3/1/2020,66907,2761,31536
3/2/2020,67103,2803,33934
3/3/2020,67217,2835,36208
3/4/2020,67332,2871,38557
3/5/2020,67466,2902,40592
3/6/2020,67592,2931,42033
3/7/2020,67666,2959,43500
3/8/2020,67707,2986,45235
3/9/2020,67743,3008,46488
3/10/2020,67760,3024,47743
3/11/2020,67773,3046,49134
3/12/2020,67781,3056,50318
3/13/2020,67786,3062,51553
3/14/2020,67790,3075,52960
3/15/2020,67794,3085,54288
3/16/2020,67798,3099,55142
3/17/2020,67799,3111,56003
3/18/2020,67800,3122,56927
3/19/2020,67800,3130,57682
3/20/2020,67800,3133,58382
3/21/2020,67800,3139,58946
3/22/2020,67800,3153,59433
3/23/2020,67800,3153,59879
3/24/2020,67801,3160,60324
3/25/2020,67801,3163,60811
3/26/2020,67801,3169,61201
